trade_date,上证综指,深证成指,沪深300,创业板指,上证50,中证500,中小板指,上证180
2018-11-15,2668.1704,8002.0951,3242.3715,1405.2479,2459.1411,4619.8141,5300.0393,7277.0732
2018-11-16,2679.1097,8062.2896,3257.6735,1403.2829,2461.4445,4659.0965,5345.5286,7300.5575
2018-11-19,2703.5116,8108.845,3294.6031,1394.4,2492.0842,4670.737,5369.5582,7384.3611
2018-11-20,2645.8545,7879.524,3218.4076,1355.3343,2446.7911,4537.4493,5212.3652,7232.9614
2018-11-21,2651.5053,7908.4687,3226.4918,1363.0284,2451.2723,4554.6747,5224.424,7248.9769
2018-11-22,2645.4339,7893.986,3214.4273,1353.9237,2437.6387,4551.3264,5231.6678,7217.0519
2018-11-23,2579.4831,7636.7046,3143.4752,1308.7387,2399.2026,4374.7644,5043.8999,7074.2063
2018-11-26,2575.8101,7615.9119,3141.2434,1304.5572,2401.8978,4367.4619,5020.9491,7076.4245
2018-11-27,2574.6792,7635.158,3137.2413,1315.4328,2394.2943,4387.6515,5027.1128,7063.7584
2018-11-28,2601.7365,7757.0735,3178.9326,1341.0832,2421.1336,4441.8569,5109.574,7144.4131
2018-11-29,2567.4434,7597.0085,3137.6542,1312.7163,2401.8524,4345.703,5006.0002,7067.7247
2018-11-30,2588.1875,7681.7494,3172.69,1329.3885,2428.0445,4376.6511,5087.5711,7140.9986
2018-12-03,2654.798,7938.4676,3260.9502,1372.7939,2488.0567,4515.1735,5275.9128,7317.6406
2018-12-04,2665.9577,7953.7209,3267.7095,1378.7535,2496.1425,4536.2104,5282.0084,7344.3555
2018-12-05,2649.8051,7928.5138,3252.0041,1381.7668,2481.7917,4502.7021,5278.6604,7307.5743
2018-12-06,2605.1813,7735.0482,3181.673,1345.7608,2434.4908,4411.0884,5132.7222,7168.0619
2018-12-07,2605.8876,7733.8928,3181.5646,1341.0187,2430.7223,4410.9593,5128.4925,7164.4128
2018-12-10,2584.5822,7624.8618,3144.7631,1326.8478,2408.6063,4359.3122,5050.6578,7100.9959
2018-12-11,2594.0881,7685.4017,3159.8158,1338.0788,2415.5777,4395.5702,5077.6444,7124.6802
2018-12-12,2602.1526,7698.0165,3170.6092,1338.7307,2423.3178,4393.324,5080.2019,7146.8091
2018-12-13,2634.0491,7808.0412,3219.6924,1348.5039,2457.9046,4443.1572,5140.1349,7247.5464
2018-12-14,2593.7407,7629.6493,3165.9109,1310.4576,2423.3814,4337.1025,5014.6211,7132.321
2018-12-17,2597.9737,7592.6462,3161.1966,1299.1747,2425.9446,4330.6465,4978.3653,7134.9957
2018-12-18,2576.6495,7530.3247,3128.4265,1293.3351,2397.8676,4307.2675,4935.9795,7063.9885
2018-12-19,2549.5634,7418.6926,3091.1255,1268.8139,2369.5483,4247.8991,4849.9088,6986.0282
2018-12-20,2536.2675,7426.4407,3067.4169,1278.1573,2334.9217,4259.7614,4846.3292,6918.1071
2018-12-21,2516.2506,7337.5975,3029.3951,1270.3043,2306.1451,4231.144,4769.6576,6846.1136
2018-12-24,2527.0071,7392.5604,3038.1981,1284.3322,2309.2327,4274.7218,4811.2907,6858.9576
2018-12-25,2504.819,7332.3467,3017.2815,1273.4473,2297.3326,4225.5124,4785.3481,6809.0902
2018-12-26,2498.2939,7289.5457,3002.0327,1264.0702,2281.5579,4208.4053,4747.5771,6775.7515
2018-12-27,2483.0864,7215.3379,2990.5057,1248.0765,2276.0571,4161.2702,4689.7637,6758.8545
