trade_date,close,open,北向资金
2017-06-23,3622.8831,3583.4359,1647.0
2017-06-26,3668.0919,3627.0208,229.07
2017-06-27,3674.7152,3665.5775,2744.18
2017-06-28,3646.1666,3664.1629,-314.29
2017-06-29,3668.8279,3649.2525,3237.63
2017-06-30,3666.7977,3654.7348,-1073.0
2017-07-03,3650.8463,3667.2316,501.02
2017-07-04,3619.9841,3646.828,-512.91
2017-07-05,3659.6795,3611.8984,680.24
2017-07-06,3660.0967,3654.5576,-1008.46
2017-07-07,3655.9293,3647.6416,354.0
2017-07-10,3653.6868,3647.9379,1020.22
2017-07-11,3670.8086,3646.8783,916.6
2017-07-12,3658.8236,3672.6328,1684.66
2017-07-13,3686.9205,3656.3502,1442.01
2017-07-14,3703.094,3682.6153,182.0
2017-07-17,3663.5575,3700.6179,1447.28
2017-07-18,3667.1807,3648.4942,2097.7
2017-07-19,3729.7466,3660.8665,1861.58
2017-07-20,3747.8843,3725.1436,206.97
2017-07-21,3728.5976,3738.1847,1601.0
2017-07-24,3743.4686,3724.3778,1693.18
2017-07-25,3719.559,3742.6405,1321.21
2017-07-26,3705.3884,3722.8761,1888.75
2017-07-27,3712.1947,3700.8558,2840.21
2017-07-28,3721.8914,3703.4895,2405.0
2017-07-31,3737.8732,3722.4282,2002.06
2017-08-01,3770.3828,3738.7364,1603.84
2017-08-02,3760.8525,3768.1938,371.27
2017-08-03,3727.8264,3755.1081,2504.75
2017-08-04,3707.5796,3724.7225,2944.0
2017-08-07,3726.7948,3701.2161,2944.53
2017-08-08,3732.2129,3724.3287,1916.45
2017-08-09,3731.044,3728.0319,1317.62
2017-08-10,3715.9208,3724.962,-189.02
2017-08-11,3647.3503,3687.9314,-823.0
2017-08-14,3694.6831,3651.3754,326.26
2017-08-15,3706.0566,3695.78,14.76
2017-08-16,3701.4207,3701.1337,922.95
2017-08-17,3721.277,3707.0668,786.48
2017-08-18,3724.6748,3707.1891,-974.0
2017-08-21,3740.9941,3731.8399,278.17
2017-08-22,3752.298,3745.7543,102.66
2017-08-24,3734.6458,3755.8902,1349.96
2017-08-25,3795.7544,3736.2916,3169.0
2017-08-28,3842.7119,3805.6567,3866.59
2017-08-29,3834.5376,3839.1779,1832.22
2017-08-30,3834.3005,3834.2682,3435.64
2017-08-31,3822.0928,3835.8394,1975.78
2017-09-01,3830.5383,3825.3392,4333.0
2017-09-04,3845.6163,3828.5447,1923.67
2017-09-05,3857.0464,3845.5451,1058.61
2017-09-06,3849.4499,3846.7471,291.63
2017-09-07,3829.8713,3851.688,1033.47
2017-09-08,3825.9895,3830.0707,567.0
2017-09-11,3825.6453,3828.3422,2128.58
2017-09-12,3837.9341,3832.2422,2571.5
2017-09-13,3842.6061,3835.5493,352.76
2017-09-14,3829.9554,3843.572,152.03
2017-09-15,3831.2965,3826.1448,104.0
2017-09-18,3843.1428,3832.9626,4494.72
2017-09-19,3832.1161,3849.8794,242.48
2017-09-20,3842.4353,3830.1549,2142.8
2017-09-21,3837.8176,3843.2577,1284.14
2017-09-22,3837.7304,3826.4589,610.0
2017-09-25,3817.7915,3829.219,-1677.08
2017-09-26,3820.7816,3810.3333,110.5
2017-09-27,3821.2,3818.9646,734.04
2017-09-28,3822.5386,3821.5904,-296.31
2017-09-29,3836.5013,3825.2021,1233.0
2017-10-09,3882.2076,3910.1149,7683.25
2017-10-10,3889.8637,3883.0037,4219.56
2017-10-11,3902.6868,3886.8184,1744.92
2017-10-12,3912.9536,3902.0156,486.15
2017-10-13,3921.0017,3912.975,410.0
2017-10-16,3913.4462,3926.2754,1572.5
2017-10-17,3913.0688,3910.7894,1810.86
2017-10-18,3944.1626,3914.8152,-427.46
2017-10-19,3931.2495,3940.5831,73.09
2017-10-20,3926.852,3918.5265,-35.0
2017-10-23,3930.7981,3930.8914,-1373.82
2017-10-24,3959.3953,3926.2299,-3150.67
2017-10-25,3976.949,3958.1669,615.5
2017-10-26,3993.5752,3980.0479,1687.49
2017-10-27,4021.9676,3992.5539,342.45
2017-10-30,4009.7218,4022.1641,-1016.42
2017-10-31,4006.7179,3995.3935,-350.0
2017-11-01,3996.6221,4007.9116,2675.97
2017-11-02,3997.1343,3994.0946,1671.47
2017-11-03,3992.6979,3992.3496,345.0
2017-11-06,4020.8896,3989.1824,632.7
2017-11-07,4054.2465,4022.4018,1636.61
2017-11-08,4048.0057,4051.4935,1995.06
2017-11-09,4075.8998,4043.0663,3157.18
2017-11-10,4111.9112,4070.2763,390.0
2017-11-13,4128.0733,4115.5507,733.94
2017-11-14,4099.351,4129.2736,435.73
2017-11-15,4073.6696,4084.2131,-1944.88
2017-11-16,4105.0122,4063.4943,611.32
2017-11-17,4120.8508,4094.0787,-1374.0
2017-11-20,4143.8334,4093.734,-728.63
2017-11-21,4217.7015,4131.8482,-537.65
2017-11-22,4227.5666,4228.3721,537.68
2017-11-23,4102.3966,4213.3781,2023.61
2017-11-24,4104.2034,4089.4723,986.0
2017-11-27,4049.9475,4088.9318,-1277.45
2017-11-28,4055.8235,4034.2057,3470.72
2017-11-29,4053.7529,4061.3545,1438.57
2017-11-30,4006.0993,4034.0091,-667.6
2017-12-01,3998.1365,4003.5604,3342.0
2017-12-04,4018.8571,3989.0466,-23.56
2017-12-05,4040.1704,4007.9361,-3132.06
2017-12-06,4015.8211,4027.1231,-3853.27
